Beer_Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brewery,City,State,Ale,Category
Ellie’s Brown Ale,106,0.055,17,38,American Brown Ale,12,Avery Brewing Company,Boulder,CO,Ale,Ale
Pumpkin Beast,1620,0.062,17,361,Pumpkin Ale,12,Aviator Brewing Company,Fuquay-Varina,NC,Ale,Ale
OktoberBeast,1579,0.072,22,361,Märzen / Oktoberfest,12,Aviator Brewing Company,Fuquay-Varina,NC,Other,Other
Mad Beach,1228,0.048,23,361,American Pale Wheat Ale,12,Aviator Brewing Company,Fuquay-Varina,NC,Ale,Ale
Hog Wild India Pale Ale,705,0.067,67.57516339869281,361,American IPA,12,Aviator Brewing Company,Fuquay-Varina,NC,IPA,IPA
Devils Tramping Ground Tripel,704,0.092,5,361,Tripel,12,Aviator Brewing Company,Fuquay-Varina,NC,Other,Other
Hot Rod Red,702,0.061,41,361,American Amber / Red Ale,12,Aviator Brewing Company,Fuquay-Varina,NC,Ale,Ale
Palate Mallet,2058,0.086,92.45454545454545,236,American Double / Imperial IPA,12,Back East Brewing Company,Bloomfield,CT,IPA,IPA
Back East Porter,1483,0.06,31.625,236,American Porter,12,Back East Brewing Company,Bloomfield,CT,Other,Porter
Back East Golden Ale,1426,0.049,21.126984126984127,236,American Blonde Ale,12,Back East Brewing Company,Bloomfield,CT,Ale,Ale
Misty Mountain IPA,1132,0.07,67.57516339869281,236,American IPA,12,Back East Brewing Company,Bloomfield,CT,IPA,IPA
Back East Ale,1131,0.05,35.69135802469136,236,American Amber / Red Ale,12,Back East Brewing Company,Bloomfield,CT,Ale,Ale
Truck Stop Honey Brown Ale,1876,0.06,23.2,287,English Brown Ale,12,Back Forty Beer Company,Gadsden,AL,Ale,Ale
Naked Pig Pale Ale,1875,0.06,43,287,American Pale Ale (APA),12,Back Forty Beer Company,Gadsden,AL,Ale,Ale
Topcutter India Pale Ale,966,0.068,70,484,American IPA,12,Bale Breaker Brewing Company,Yakima,WA,IPA,IPA
Field 41 Pale Ale,965,0.044,38,484,American Pale Ale (APA),12,Bale Breaker Brewing Company,Yakima,WA,Ale,Ale
Grapefruit Sculpin,2593,0.07,67.57516339869281,35,American IPA,12,Ballast Point Brewing Company,San Diego,CA,IPA,IPA
Even Keel,2105,0.038,40,35,American IPA,12,Ballast Point Brewing Company,San Diego,CA,IPA,IPA
Ballast Point Pale Ale,1401,0.052,23,35,Kölsch,12,Ballast Point Brewing Company,San Diego,CA,Other,Other
Big Eye India Pale Ale,1400,0.07,75,35,American IPA,12,Ballast Point Brewing Company,San Diego,CA,IPA,IPA
Longfin Lager,1019,0.046,17.916666666666668,35,Munich Helles Lager,12,Ballast Point Brewing Company,San Diego,CA,Other,Lager
Sculpin IPA,1018,0.07,70,35,American IPA,12,Ballast Point Brewing Company,San Diego,CA,IPA,IPA
All Nighter Ale,1776,0.045,44.266666666666666,319,Extra Special / Strong Bitter (ESB),12,Banner Beer Company,Williamsburg,MA,Other,Other
Banner American Rye,1644,0.045,20,319,Rye Beer,12,Banner Beer Company,Williamsburg,MA,Other,Other
Banner American Ale,1643,0.035,45,319,American Amber / Red Ale,12,Banner Beer Company,Williamsburg,MA,Ale,Ale
Thai.p.a,2618,0.07,46,21,American IPA,16,Bare Hands Brewery,Granger,IN,IPA,IPA
Barrio Blanco,2005,0.06,60,252,American IPA,12,Barrio Brewing Company,Tucson,AZ,IPA,IPA
Barrio Tucson Blonde,1343,0.045,21.126984126984127,252,American Blonde Ale,12,Barrio Brewing Company,Tucson,AZ,Ale,Ale
Hop in the ‘Pool Helles,2404,0.049,22,117,American Pilsner,12,Base Camp Brewing Co.,Portland,OR,Other,Pilsner
Ultra Gnar Gnar IPA,2323,0.067,60,117,American IPA,12,Base Camp Brewing Co.,Portland,OR,IPA,IPA
In-Tents India Pale Lager,2189,0.068,62,117,American Pale Lager,12,Base Camp Brewing Co.,Portland,OR,Other,Lager
Lost Meridian Wit,2188,0.05,20,117,Witbier,12,Base Camp Brewing Co.,Portland,OR,Other,Other
Celestial Meridian Cascadian Dark Lager,2187,0.051,45,117,Euro Dark Lager,12,Base Camp Brewing Co.,Portland,OR,Other,Lager
Wagon Party,1966,0.054,55,259,California Common / Steam Beer,12,Bauhaus Brew Labs,Minneapolis,MN,Other,Other
Sky-Five,1965,0.067,70,259,American IPA,12,Bauhaus Brew Labs,Minneapolis,MN,IPA,IPA
Stargrazer,1964,0.05,28,259,Schwarzbier,12,Bauhaus Brew Labs,Minneapolis,MN,Other,Other
Wonderstuff,1963,0.054,48,259,German Pilsener,12,Bauhaus Brew Labs,Minneapolis,MN,Other,Pilsner
Tarnation California-Style Lager,1855,0.053,41,293,California Common / Steam Beer,12,Baxter Brewing Company,Lewiston,ME,Other,Other
